"Year","Electricity & Heat","Manufacturing Industries & Construction","Other sectors","Residential Buildings and Commercial and Public Services","Transport"
"1971","17.37185485","48.74578617","6.458848712","21.59657511","5.826935155"
"1972","17.68767216","48.37677568","6.577095637","21.32985313","6.02860339"
"1973","18.46922952","47.69366075","6.710718171","20.83111533","6.296433448"
"1974","17.99024612","48.25450834","6.761937167","20.31870251","6.673471702"
"1975","18.57494001","48.05156953","6.504483673","20.46556364","6.402471607"
"1976","18.53729114","48.89573415","6.390366844","19.93185849","6.24474937"
"1977","18.46843876","49.15325506","6.285040565","19.98301563","6.110249984"
"1978","21.8030588","47.36838269","6.027934508","18.92285935","5.877035676"
"1979","23.30138811","45.64585214","6.032346326","19.02602891","5.994384517"
"1980","26.2047221","44.0702449","5.789705235","18.13902332","5.795571198"
"1981","25.93818415","42.83692439","6.446215198","18.89194389","5.885995238"
"1982","25.59271549","43.29104789","6.378899258","18.79426352","5.943073843"
"1983","25.38182847","43.45100205","6.295792479","18.87256222","5.998814783"
"1984","25.30130157","43.91065042","6.34787282","18.55992982","5.880245365"
"1985","27.5544538","40.40745776","5.991917278","20.02103722","6.02451882"
"1986","28.19341251","40.12929269","6.071491254","19.39214883","6.213069678"
"1987","29.19407715","40.00054639","5.810840345","18.92252213","6.072013988"
"1988","30.38520817","39.07545984","5.708158423","18.86039626","5.970777311"
"1989","33.1341412","37.44550789","5.377697666","18.05268469","5.989968554"
"1990","34.94031619","35.89699124","6.095551895","17.9118857","5.155736678"
"1991","36.31621059","35.60935464","5.948837528","16.89870379","5.226893446"
"1992","38.46956263","35.4054445","5.472985707","15.16017479","5.491394084"
"1993","40.12912309","34.65567176","5.247385358","14.31094127","5.65687852"
"1994","41.87602488","34.93742458","5.471288017","12.67094149","5.04432103"
"1995","41.06744531","37.06409244","4.77506685","12.21649556","4.876899843"
"1996","46.31714187","33.72596263","3.103315008","10.2838003","6.569432016"
"1997","45.69118558","33.06440515","4.074176013","11.47113466","5.698754559"
"1998","46.98918888","34.12852661","4.23877134","9.256623184","5.386889979"
"1999","49.40447454","30.04972482","4.58109767","9.813583636","6.151119326"
"2000","51.03849394","28.93655628","2.605469509","8.881148338","8.538331929"
"2001","51.22552194","29.24229808","2.65118574","8.563851112","8.317451506"
"2002","52.62402425","28.17287622","2.729820147","8.108540874","8.364738513"
"2003","53.75830944","27.71959868","2.738475357","7.611125642","8.172490882"
"2004","50.29465182","31.37639653","2.669012027","7.462184234","8.197755397"
"2005","50.22517352","32.61740658","2.627428804","6.819780929","7.710210168"
"2006","51.57791127","31.84539514","2.470538891","6.495481052","7.610673648"
"2007","51.33483908","32.77123074","2.280565875","6.156229275","7.457135039"
"2008","50.1620645","33.93352178","2.233493935","5.79845895","7.872612159"
"2009","50.36598678","34.34397776","2.177276227","5.573417248","7.539341978"
"2010","51.56823947","33.44807676","2.037874414","5.401937187","7.543742418"
"2011","52.39090372","32.95711754","1.949675133","5.205434141","7.496869462"
"2012","52.52680383","32.05300564","2.01845036","5.302651558","8.099088618"
"2013","53.15646287","31.07230315","2.078881226","5.306225174","8.386127577"
"2014","52.25300871","31.71522709","2.074621215","5.358337662","8.598695273"
